book,slug,genre,bible,wikictrl_matched,delta_vanilla,delta_single_ctrl,delta_matched_ctrl,p_matched,p_single,tier_old,tier_new,tier_changed,below_wiki_old,below_wiki_new
Habakkuk,habakkuk,prophet,77.1000,72.3500,11.7500,2.2500,4.7500,0.0209,0.0965,C,C,False,False,False
Nahum,nahum,prophet,76.7500,72.6000,11.4000,1.9000,4.1500,0.0423,0.1575,C,C,False,False,False
Esther,esther,narrative,76.2500,70.7500,10.9000,1.4000,5.5000,0.0074,0.1793,C,C,False,False,False
Jeremiah,jeremiah,prophet,75.9500,71.2500,10.6000,1.1000,4.7000,0.1156,0.5237,C,C,False,False,False
Jonah,jonah,prophet,75.4000,72.2000,10.0500,0.5500,3.2000,0.1016,0.6799,C,C,False,False,False
Haggai,haggai,prophet,75.0000,73.6500,9.6500,0.1500,1.3500,0.4002,0.9118,C,C,False,False,False
Judges,judges,historical,74.6000,73.1500,9.2500,-0.2500,1.4500,0.1629,0.7642,C,C,False,False,False
Ruth,ruth,narrative,74.3500,71.9000,9.0000,-0.5000,2.4500,0.0120,0.6272,C,C,False,False,False
Song of Solomon,song_of_solomon,narrative,74.1000,72.6000,8.7500,-0.7500,1.5000,0.3466,0.2773,C,C,False,False,False
Ecclesiastes,ecclesiastes,wisdom,73.2500,69.1500,7.9000,-1.6000,4.1000,0.0119,0.1983,C,C,False,True,False
3 John,3_john,epistle,73.2500,66.3500,7.9000,-1.6000,6.9000,0.0003,0.0023,C,B,True,True,False
Jude,jude,epistle,73.0500,70.4000,7.7000,-1.8000,2.6500,0.0275,0.1822,C,C,False,True,False
2 John,2_john,epistle,71.8500,65.3500,6.5000,-3.0000,6.5000,0.0004,0.0285,C,B,True,True,False
Philemon,philemon,epistle,69.3500,68.8500,4.0000,-5.5000,0.5000,0.7189,0.0097,C,C,False,True,False
